id,total_income,total_expense,net_income,income_count,expense_count,total_tx_count,active_days,tx_frequency,last_tx_days_ago,income_expense_ratio,avg_income,income_std,expense_std,big_income_count,big_income_ratio,min_balance,final_balance,negative_balance_count,negative_balance_ratio
56693,26365.570000000003,33756.33,-7390.759999999998,70,6,76,185,0.41081081081081083,6900,0.7810555827371917,376.65100000000007,489.6148452096913,412.11660450654006,2,0.02857142857142857,-10190.75,-7390.760000000001,74.0,0.9736842105263158
56694,23862.170000000002,37849.93,-13987.759999999998,64,6,70,159,0.44025157232704404,5002,0.6304415886467838,372.84640625000003,463.17742866356076,455.30611273808614,2,0.03125,-14771.769999999997,-13987.759999999997,64.0,0.9142857142857143
59912,9277.14,27483.160000000003,-18206.020000000004,41,6,47,151,0.31125827814569534,6784,0.337557253229339,226.27170731707315,267.1537657127673,249.9007985314706,1,0.024390243902439025,-18701.070000000007,-18206.020000000008,45.0,0.9574468085106383
53480,11245.519999999999,50570.0,-39324.48,41,5,46,166,0.27710843373493976,8136,0.2223753213323635,274.28097560975607,200.15395960116402,661.4230869874441,0,0.0,-39477.14,-39324.479999999996,45.0,0.9782608695652174
56695,27823.15,46695.8,-18872.65,72,6,78,188,0.4148936170212766,6958,0.5958383837390978,386.4326388888889,429.92050906261323,466.07272010563605,1,0.013888888888888888,-20549.769999999997,-18872.649999999994,76.0,0.9743589743589743
53481,20161.940000000002,18393.9,1768.0400000000009,53,3,56,145,0.38620689655172413,6776,1.0961209965751624,380.413962264151,604.5712732346261,292.3999280095671,3,0.05660377358490566,-11654.429999999997,1768.040000000004,54.0,0.9642857142857143
53482,44977.46,36612.340000000004,8365.119999999995,68,6,74,173,0.4277456647398844,5566,1.2284781578771398,661.4332352941176,915.7614141337482,585.6442634113874,8,0.11764705882352941,-5762.75,8365.119999999999,11.0,0.14864864864864866
56697,19486.000000000004,65580.31,-46094.31,50,6,56,176,0.3181818181818182,9069,0.2971318677771251,389.7200000000001,323.9960820876748,692.5912460727944,0,0.0,-50823.220000000016,-46094.310000000034,55.0,0.9821428571428571
56698,46349.06999999999,15782.0,30567.069999999992,92,6,98,170,0.5764705882352941,7390,2.9368311999152934,503.7942391304347,847.4629866029857,136.34108576165391,8,0.08695652173913043,-3792.41,30567.070000000007,10.0,0.10204081632653061
59914,36189.72,122647.35,-86457.63,100,6,106,185,0.572972972972973,7265,0.29507135702243,361.8972,483.93856239390425,1716.710260897278,1,0.01,-92220.91999999997,-86457.62999999995,104.0,0.9811320754716981
53483,24048.52,24156.8,-108.27999999999884,67,6,73,160,0.45625,6487,0.9955176181863692,358.9331343283582,570.2305223652949,191.24228263296453,2,0.029850746268656716,-6885.02,-108.28000000000071,54.0,0.7397260273972602
56699,17299.3,29565.700000000004,-12266.400000000005,46,6,52,172,0.3023255813953488,6997,0.5851138312103175,376.07173913043476,661.6757143505816,98.27439089949459,2,0.043478260869565216,-16722.530000000002,-12266.400000000005,51.0,0.9807692307692307
59916,24868.840000000004,38443.75,-13574.909999999996,68,6,74,190,0.3894736842105263,8051,0.646889026157779,365.7182352941177,535.8363703147288,421.95584979552865,3,0.04411764705882353,-17859.44,-13574.909999999994,72.0,0.972972972972973
