id,total_income,total_expense,net_income,income_count,expense_count,tx_count,active_days,avg_income,avg_expense,income_std,expense_std,p95_income,p95_expense,last_tx_days,first_tx_days,income_expense_ratio,has_stm
73534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
73535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
73536,9.946788392179622,10.20108493047522,,1.9459101490553132,4.343805421853684,4.418840607796598,73.0,8.155268300112489,5.873132470953814,5.566279182982418,6.203341395746422,8.27002458589497,6.217553755710761,0.0,5.181783550292085,0.5740558699644926,1
73537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
73538,11.080272956124041,10.311714842305689,10.45727524722443,1.9459101490553132,4.143134726391533,4.23410650459726,59.0,9.288590550952748,6.186606128848824,6.628214878336908,6.579699148438439,9.394195751861853,7.776997169703543,0.0,5.187385805840755,1.1495249006853618,1
73539,10.242764057887333,10.83057703848023,,4.394449154672439,4.812184355372417,5.313205979041787,131.0,5.863547000263814,6.0289471402865775,5.49130719148402,5.888441857415246,6.734414364213453,7.0505363287129965,0.0,5.19295685089021,0.44181770062010406,1
73540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
73541,10.811396656499017,9.51112029189714,10.493342909551796,1.791759469228055,3.7376696182833684,3.8501476017100584,43.0,9.202039414159165,5.800504812845098,6.358455270080922,5.769446516350916,9.27417057981911,7.17699584738906,0.0,5.159055299214529,1.5412679636905757,1
73542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
73543,10.749902666274272,9.339060710014932,10.470299386713329,1.3862943611198906,3.6888794541139363,3.7612001156935624,38.0,9.615567024989524,5.678834530326156,6.630866747679443,5.106396493280271,9.68717921595192,6.227419678529518,0.0,5.1298987149230735,1.6291774007552544,1
73544,9.998062462095525,8.657492380752746,9.694723863634636,1.3862943611198906,3.1354942159291497,3.258096538021482,22.0,8.899541145247593,5.570093493857739,6.301233179600797,5.536473756070488,8.951179929784784,5.87249940679111,0.0,4.983606621708336,1.573129002033089,1
73545,9.782887464166947,10.17252056200367,,4.1588830833596715,4.418840607796598,4.983606621708336,95.0,5.643243974631898,5.768891214109782,4.907456552140267,5.51780578538944,6.331099743807466,6.764512799079616,0.0,5.198497031265826,0.5171811869566881,1
73546,8.293752095840123,9.625660096786104,,0.6931471805599453,3.4657359027997265,3.4965075614664802,32.0,8.293752095840123,6.193651321480502,0.0,6.6360766375011,8.293752095840123,7.541746758333322,0.0,5.170483995038151,0.23422158591141531,1
73547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
73548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
73549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
73550,9.60936478325436,9.3411966897764,8.1624192964811,1.3862943611198906,3.5263605246161616,3.6109179126442243,33.0,8.510886680447287,5.847492694878807,5.74896326196742,6.362446805110007,8.55487233234201,6.232168999239815,0.0,4.9344739331306915,0.8362053806403207,1
73551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
73552,10.540320962444614,10.10639492658495,9.496385104718588,1.9459101490553132,4.007333185232471,4.110873864173311,54.0,8.748693725670828,6.119571881086722,5.776843784825978,6.562913890141127,8.825666740326966,7.870678038399435,0.0,5.1647859739235145,0.9334730240058523,1
73553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
73554,11.276930942510376,9.982741795606975,10.956577756042483,1.9459101490553132,3.970291913552122,4.07753744390572,51.0,9.485234779647165,6.033851009517603,6.426676773166349,6.43506624725649,9.53919887612794,7.3920783932820795,0.0,5.181783550292085,1.5364712426713378,1
73555,10.161579240997666,9.71865685046837,9.13402612162579,1.6094379124341003,3.7376696182833684,3.828641396489095,39.0,8.775400751823955,6.007487923419468,5.954134939971833,6.473475032505545,8.824077858239267,6.607973634378529,0.0,5.093750200806762,0.9389461462159118,1
73556,8.148348886979427,8.962334363220034,,3.044522437723423,3.8918202981106265,4.23410650459726,66.0,5.15809660806395,5.097138185034162,4.342628526933545,4.423756735927693,5.639320893892633,5.780587540132329,0.0,5.187385805840755,0.3667362324653655,1
73557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
