id,time,direction,amount
73536,1182902400,1,94.73
73536,1189987200,1,37.42
73536,1188777600,1,444.02
73536,1188604800,1,260.57
73536,1188432000,1,395.26
73536,1188345600,1,284.41
73536,1188259200,1,290.93
73536,1188172800,1,267.04
73536,1188086400,1,12.86
73536,1188000000,1,270.36
73536,1187913600,1,293.02
73536,1187827200,1,322.58
73536,1187740800,1,244.08
73536,1187654400,1,298.0
73536,1187568000,1,2307.57
73536,1187481600,1,3684.13
73536,1187395200,1,344.43
73536,1187308800,1,37.53
73536,1189987200,0,3494.47
73536,1187308800,0,4040.57
73536,1190246400,1,468.16
73536,1190764800,1,440.74
73536,1183075200,1,29.25
73536,1175817600,1,465.57
73536,1176768000,0,3405.6
73536,1176768000,1,382.19
73536,1176854400,1,220.24
73536,1176854400,1,254.94
73536,1176940800,1,92.44
73536,1177027200,1,1.39
73536,1177113600,1,100.87
73536,1177200000,1,411.43
73536,1177286400,1,497.42
73536,1177372800,1,383.51
73536,1192060800,1,1553.44
73536,1191801600,1,343.74
73536,1191542400,1,35.3
73536,1191283200,1,321.3
73536,1191024000,1,339.59
73536,1190505600,1,290.46
73536,1186185600,1,448.33
73536,1188518400,1,97.18
73536,1186531200,1,300.92
73536,1184630400,1,154.35
73536,1183593600,1,452.64
73536,1183939200,1,406.6
73536,1183766400,1,149.23
73536,1183593600,1,117.73
73536,1183420800,1,320.93
73536,1178323200,1,249.05
73536,1178409600,1,461.26
73536,1184630400,0,3370.84
73536,1179360000,0,3279.83
73536,1182038400,1,29.86
73536,1182038400,0,3292.73
73536,1182211200,1,162.29
73536,1182384000,1,258.99
73536,1186704000,1,468.15
73536,1182556800,1,8.13
73536,1182729600,1,263.58
73536,1183248000,1,288.64
73536,1181001600,1,456.95
73536,1184803200,1,159.44
73536,1182384000,1,158.53
73536,1185148800,1,427.29
73536,1184976000,1,56.63
73536,1186358400,1,239.99
73536,1186185600,1,228.1
73536,1177545600,1,509.64
73536,1177632000,1,485.6
73536,1177718400,1,70.74
73536,1177804800,1,410.58
73536,1177891200,1,285.52
73536,1177977600,1,370.68
73536,1177459200,1,256.87
73536,1178150400,1,267.82
73536,1178236800,1,422.51
73536,1186012800,1,483.99
73536,1185840000,1,12.05
73536,1185667200,1,290.79
73536,1185494400,1,137.21
73536,1178064000,1,418.9
73536,1185321600,1,88.35
73538,1197849600,1,305.54
73538,1197849600,1,373.6
73538,1197849600,0,10261.33
73538,1198022400,1,570.22
73538,1198368000,1,351.67
73538,1200528000,1,233.69
73538,1200960000,1,351.67
73538,1200787200,1,2428.28
73538,1201046400,1,175.02
73538,1201305600,1,339.48
73538,1201564800,1,283.56
73538,1201824000,1,2408.44
73538,1197676800,1,4.74
73538,1200528000,0,10741.25
73538,1197504000,1,255.56
73538,1195948800,1,7.31
73538,1197158400,1,214.59
73538,1202083200,1,57.86
73538,1195257600,0,10478.0
73538,1195257600,1,202.28
73538,1195344000,1,471.99
73538,1195430400,1,3502.63
73538,1195603200,1,159.66
73538,1195603200,1,281.96
73538,1195776000,1,473.76
73538,1195776000,1,351.67
73538,1196121600,1,423.67
73538,1196294400,1,100.41
73538,1196467200,1,3412.68
73538,1196640000,1,288.33
73538,1196812800,1,268.03
73538,1196985600,1,1921.68
73538,1197331200,1,254.42
73538,1202342400,1,361.27
73538,1209600000,1,292.04
73538,1202860800,1,314.28
73538,1210636800,1,187.75
73538,1210377600,1,460.03
73538,1210118400,1,290.27
73538,1209859200,1,330.66
73538,1202601600,1,90.32
73538,1209340800,1,121.02
73538,1209081600,1,310.26
73538,1208822400,1,1555.25
73538,1208736000,1,351.67
73538,1208563200,1,35.48
73538,1208304000,0,10168.17
73538,1206921600,1,104.02
73538,1206835200,1,257.11
73538,1206748800,1,483.12
73538,1206662400,1,98.31
73538,1208304000,1,18.29
73538,1206489600,1,273.56
73538,1203206400,0,12420.42
73538,1203552000,1,351.67
73538,1206576000,1,291.92
73538,1205625600,1,38.35
73538,1205712000,1,334.87
73538,1205798400,1,346.87
73538,1205884800,1,280.77
73538,1205625600,0,10808.42
73538,1206057600,1,339.43
73538,1206144000,1,351.67
73538,1206144000,1,7.94
73538,1206230400,1,247.17
73538,1206316800,1,468.66
73538,1206403200,1,333.09
73538,1205971200,1,280.46
73539,1147478400,1,296.17622859481975
73539,1147478400,0,179.23869116809513
73539,1147564800,1,60.518595538807496
73539,1147651200,1,60.518595538807496
73539,1147910400,1,245.13875541055344
