id,time,direction,amount
56693,1144195200,1,542.21
56693,1145145600,1,283.49
56693,1145145600,0,5604.08
56693,1146787200,1,539.38
56693,1147737600,0,5951.75
56693,1147737600,1,127.7
56693,1147910400,1,291.29
56693,1147996800,1,26.61
56693,1148083200,1,300.88
56693,1148256000,1,4.54
56693,1148428800,1,57.76
56693,1148601600,1,309.06
56693,1148774400,1,103.86
56693,1148947200,1,256.42
56693,1149120000,1,479.39
56693,1149292800,1,291.41
56693,1149465600,1,404.53
56693,1149638400,1,3578.75
56693,1149379200,1,536.56
56693,1150416000,1,428.11
56693,1150416000,0,5330.5
56693,1150502400,1,226.27
56693,1150588800,1,711.28
56693,1150675200,1,360.42
56693,1150761600,1,189.84
56693,1150761600,1,29.12
56693,1150848000,1,388.16
56693,1150848000,1,26.5
56693,1150934400,1,484.25
56693,1151020800,1,314.8
56693,1151107200,1,327.43
56693,1151193600,1,287.22
56693,1151280000,1,310.04
56693,1151366400,1,118.47
56693,1151452800,1,347.32
56693,1151539200,1,243.05
56693,1151625600,1,306.61
56693,1151712000,1,327.42
56693,1151798400,1,177.19
56693,1151884800,1,7.28
56693,1151971200,1,293.93
56693,1151971200,1,533.73
56693,1153008000,1,8.52
56693,1153008000,0,5297.83
56693,1153180800,1,328.62
56693,1153353600,1,257.4
56693,1153526400,1,255.71
56693,1153699200,1,316.75
56693,1153872000,1,336.44
56693,1154044800,1,469.86
56693,1154217600,1,80.39
56693,1154390400,1,348.31
56693,1154563200,1,273.9
56693,1154736000,1,412.37
56693,1154908800,1,286.76
56693,1154563200,1,530.91
56693,1155686400,1,266.15
56693,1155686400,0,5287.92
56693,1155859200,1,340.58
56693,1156032000,1,88.82
56693,1156204800,1,473.44
56693,1156377600,1,2405.87
56693,1156550400,1,404.65
56693,1156723200,1,293.79
56693,1156896000,1,194.54
56693,1157068800,1,213.46
56693,1157241600,1,274.91
56693,1157414400,1,515.27
56693,1157587200,1,519.05
56693,1157760000,1,422.38
56693,1157932800,1,331.41
56693,1157155200,1,528.08
56693,1158364800,1,109.24
56693,1158364800,0,6284.25
56693,1159228800,1,7.78
56693,1160092800,1,497.93
56694,1310428800,0,6519.24
56694,1310428800,1,302.33
56694,1310515200,1,1.35
56694,1310601600,1,268.02
56694,1310688000,1,76.53
56694,1310774400,1,316.13
56694,1310860800,1,473.34
56694,1310947200,1,214.27
56694,1311033600,1,330.25
56694,1311120000,1,216.18
56694,1311120000,1,784.01
56694,1311206400,1,235.35
56694,1311292800,1,68.02
56694,1311379200,1,547.91
56694,1311465600,1,277.48
56694,1311552000,1,314.38
56694,1311638400,1,417.45
56694,1311724800,1,316.63
56694,1311811200,1,423.37
56694,1313107200,0,5899.83
56694,1313107200,1,170.08
56694,1313193600,1,259.05
56694,1313280000,1,473.88
56694,1313366400,1,74.07
56694,1313452800,1,275.6
56694,1313539200,1,475.08
56694,1313625600,1,489.26
56694,1313712000,1,784.01
56694,1313712000,1,112.91
56694,1313798400,1,99.76
56694,1313884800,1,271.21
56694,1313971200,1,208.22
56694,1314057600,1,260.24
56694,1314144000,1,415.2
56694,1314230400,1,299.34
56694,1314316800,1,211.2
56694,1314403200,1,56.25
56694,1314489600,1,262.74
56694,1314576000,1,252.14
56694,1314662400,1,288.31
56694,1314748800,1,93.26
56694,1314835200,1,339.29
56694,1314921600,1,38.26
56694,1315008000,1,134.72
56694,1315094400,1,288.53
56694,1315180800,1,14.8
56694,1315267200,1,416.65
56694,1315353600,1,392.46
56694,1315440000,1,1830.96
56694,1315526400,1,310.59
56694,1315612800,1,346.13
56694,1315785600,0,6170.41
56694,1315785600,1,43.98
56694,1316304000,1,784.01
56694,1318377600,1,134.35
56694,1318377600,0,6893.55
56694,1318636800,1,192.54
56694,1318896000,1,464.25
56694,1318896000,1,784.01
56694,1319155200,1,271.45
56694,1319414400,1,95.1
56694,1319673600,1,339.88
56694,1319932800,1,31.12
56694,1320192000,1,3277.09
56694,1320451200,1,25.16
56694,1320710400,1,324.01
56694,1321056000,0,5718.44
56694,1321488000,1,784.01
56694,1323648000,0,6648.46
56694,1324080000,1,784.01
59912,1157155200,1,237.38
59912,1158364800,1,180.26
59912,1158364800,0,4527.08
59912,1158624000,1,495.91
59912,1158883200,1,100.66
59912,1159142400,1,487.5
59912,1159401600,1,274.6
59912,1159660800,1,251.2
59912,1159920000,1,218.11
59912,1160179200,1,36.71
59912,1159747200,1,237.38
59912,1160956800,1,1.34
59912,1160956800,0,4941.37
59912,1160956800,1,1.85
59912,1160956800,0,4812.84
59912,1160956800,1,423.82
59912,1161129600,1,1.64
59912,1161216000,1,347.55
59912,1161216000,1,0.97
59912,1161475200,1,338.36
59912,1161734400,1,240.58
59912,1161993600,1,40.23
59912,1162252800,1,109.13
59912,1162252800,1,1602.67
59912,1162339200,1,237.38
59912,1162512000,1,103.42
59912,1162771200,1,233.55
59912,1163030400,1,155.03
59912,1163289600,1,68.17
59912,1163635200,0,4392.38
59912,1163635200,1,203.42
59912,1163894400,1,0.81
59912,1164067200,1,1.06
59912,1164240000,1,319.26
59912,1164844800,1,19.02
59912,1164931200,1,237.38
59912,1165449600,1,28.11
59912,1166227200,1,520.44
59912,1166227200,1,0.75
59912,1166227200,0,4523.11
59912,1166832000,1,285.67
59912,1167436800,1,73.57
59912,1167523200,1,237.38
59912,1168041600,1,429.82
59912,1168905600,1,257.67
59912,1168905600,0,4286.38
59912,1170115200,1,237.38
53480,1039046400,1,244.9
53480,1039996800,0,9122.0
53480,1040515200,1,57.01
53480,1041033600,1,99.83
53480,1042070400,1,183.49
53480,1041638400,1,242.96
53480,1042675200,1,203.12
53480,1043193600,1,188.16
53480,1043712000,1,243.96
53480,1044748800,1,105.41
53480,1044230400,1,241.02
53480,1045353600,1,101.32
53480,1045353600,0,10967.0
53480,1045526400,1,407.7
53480,1045699200,1,256.59
53480,1045872000,1,1288.5
53480,1046044800,1,441.46
53480,1046390400,1,240.31
53480,1046822400,1,417.42
53480,1047168000,1,293.25
53480,1047513600,1,491.25
53480,1046822400,1,239.07
53480,1047859200,0,10293.0
53480,1048377600,1,129.54
53480,1048723200,1,50.48
53480,1048896000,1,196.27
53480,1049068800,1,255.65
53480,1049241600,1,321.77
53480,1049414400,1,299.22
53480,1049587200,1,458.48
53480,1049932800,1,352.38
53480,1050537600,1,208.49
53480,1050537600,0,10146.0
53480,1050710400,1,359.03
53480,1050796800,1,134.8
53480,1050883200,1,221.48
53480,1051056000,1,249.68
53480,1051401600,1,107.67
53480,1051574400,1,403.17
53480,1051747200,1,53.94
53480,1051920000,1,309.48
53480,1052265600,1,448.02
53480,1052438400,1,311.39
53480,1052006400,1,235.19
53480,1053129600,0,10042.0
53480,1053302400,1,152.66
56695,1138924800,1,1259.95
56695,1140048000,1,156.39
56695,1140048000,0,7766.47
56695,1140134400,1,579.49
56695,1140220800,1,436.73
56695,1140393600,1,37.06
56695,1140566400,1,263.47
56695,1140739200,1,438.91
56695,1140912000,1,271.6
56695,1141084800,1,19.41
56695,1141257600,1,294.14
56695,1141430400,1,423.14
