row_id,y_true,oof_pred
0,0,0.0
1,1,0.4711150608365535
2,0,0.0
3,0,0.5997239740422431
4,1,0.5879398523584095
5,1,0.0
6,0,0.0
7,1,0.3830815083549902
8,0,0.0
9,1,0.0
10,0,0.5553919792223321
11,0,0.4259125497156111
12,0,0.3828946743152835
13,0,0.724061282083045
14,0,0.31597907192844826
15,0,0.6228507617857363
16,0,0.2925664298537285
17,0,0.0
18,0,0.6589841779265906
19,0,0.0
20,0,0.30637779697166045
21,0,0.4145081361335138
22,0,0.3846182030384401
23,0,0.0
24,0,0.0
25,0,0.0
26,0,0.4087278171751581
27,1,0.5760494926872355
28,0,0.53346301154043
29,0,0.40131392065173943
30,1,0.7035460613889664
31,0,0.5300626426395075
32,0,0.0
33,1,0.7631259049885085
34,0,0.5112997955511889
35,0,0.6855484351239696
36,0,0.6099640025808929
37,0,0.3037507320182269
38,0,0.3612336286833463
39,0,0.0
40,0,0.0
41,0,0.33250850377781593
42,1,0.48699437032944715
43,0,0.3351987322636741
44,0,0.5361801649870728
45,0,0.5553824698361371
46,0,0.5344603868252717
47,0,0.4872123146283871
48,0,0.4650498001268284
49,0,0.0
50,1,0.742525948364978
51,1,0.0
52,0,0.5406146204112907
53,0,0.646737239911265
54,0,0.0
55,0,0.6328961329531213
56,0,0.2385933608723001
57,0,0.20448494311778292
58,0,0.18618970076812635
59,0,0.47970930801805434
60,0,0.1988529874402497
61,0,0.0
62,0,0.0
63,0,0.2092874581840861
64,1,0.6204211277107109
65,0,0.0
66,0,0.43749569150664847
67,0,0.37115259664404
68,0,0.3694150464085478
69,0,0.0
70,1,0.7290314238861924
71,0,0.4484394445300204
72,0,0.29988529460834445
73,0,0.4593917663514945
74,0,0.7348689181120631
75,0,0.1523953613678038
76,0,0.30156692984909317
77,0,0.4536764178903868
78,0,0.5966894621577372
79,0,0.4550555330639203
80,1,0.8141309177687452
81,0,0.5896655571265789
82,0,0.4118205120288667
83,0,0.0
84,0,0.0
85,0,0.4401018198446335
86,1,0.7592910824569017
87,0,0.5929362451603893
88,0,0.3820319403435801
89,0,0.502122090811101
90,0,0.323570127061267
91,0,0.5400653030370206
92,0,0.0
93,0,0.5742546435707299
94,0,0.41737803406181495
95,0,0.5186085408926844
96,0,0.0
97,0,0.0
98,0,0.11843173353393566
99,0,0.6267788392902532
100,0,0.16590557329023037
101,0,0.0
102,0,0.5955216410730426
103,0,0.1240899780438319
104,0,0.2513811761910871
105,0,0.42297362483641643
106,0,0.0
107,0,0.18489156851545646
108,0,0.16019323102036054
109,0,0.38661876729375627
110,1,0.5148462402185214
111,0,0.3768571777685361
112,0,0.5185322474049645
113,1,0.36888951326796815
114,1,0.7942298313543037
115,0,0.48138369343996945
116,0,0.5527109953382625
117,0,0.0
118,0,0.3948528912968985
119,0,0.0
120,0,0.4580787645055948
121,0,0.2862322009059006
122,1,0.4090822665165619
123,0,0.4075800076032285
124,0,0.6502459406897135
125,1,0.6732905430832098
126,0,0.4692660584998657
127,0,0.5878412737452654
128,0,0.5243939271804332
129,1,0.4475997439200248
130,1,0.5058969380735676
131,0,0.4206137848373944
132,1,0.7952763528115109
133,0,0.5595091873014586
134,0,0.6361314902713705
135,0,0.41664186775930656
136,0,0.7266508045084582
137,0,0.2012836305502558
138,0,0.0
139,0,0.28297351693013045
140,1,0.6753345129672805
141,1,0.5103120119447953
142,0,0.29808677170421394
143,0,0.47003091359214605
144,0,0.0
145,0,0.365979307606756
146,0,0.7353852173185731
147,1,0.0
148,0,0.3643761094705511
149,1,0.46125936301187054
150,0,0.45684591796946483
151,0,0.7165524073263978
152,1,0.4053361839127315
153,1,0.47415074267526436
154,0,0.7087010248031934
155,0,0.5353716713545051
156,1,0.0
157,0,0.1566051387778064
158,0,0.0
159,0,0.0
160,0,0.3583672249436396
161,0,0.5990221947401835
162,0,0.0
163,1,0.15133384127190963
164,0,0.5882968953470914
165,0,0.1619352910935508
166,0,0.5590050593136846
167,0,0.6122750691698704
168,0,0.0
169,0,0.0
170,0,0.5961111561392477
171,1,0.6454541304122969
172,0,0.34068267266078334
173,0,0.34316935397367465
174,1,0.7772089848523844
175,1,0.0
176,0,0.17940612978932266
177,0,0.6423406701563059
178,0,0.4628360972645826
179,0,0.3824340287396142
180,0,0.0
181,0,0.6477800823504274
182,1,0.0
183,0,0.3446166904396664
184,0,0.22598965699811713
185,0,0.5104985938057618
186,0,0.2528663066917081
187,0,0.4297955409976111
188,0,0.5188594347287669
189,1,0.7445044216783616
190,0,0.6547737948098589
191,0,0.5814583893748677
192,0,0.37538859186477247
193,1,0.0
194,1,0.6367062242286138
195,1,0.7409733316428186
196,1,0.557554054614827
197,0,0.0
198,1,0.6905027220171753
199,0,0.6155736376564732
200,1,0.6715834097351328
201,0,0.5864620391694422
202,0,0.35206955085444763
203,0,0.0
204,1,0.7428616389210017
205,0,0.0
206,0,0.5330169402244711
207,0,0.33247621667000254
208,0,0.6146899191471149
209,0,0.41059504825715365
210,0,0.0
211,1,0.40149318675454015
212,0,0.4447843692763863
213,0,0.0
214,0,0.7607221926954995
215,1,0.0
216,0,0.0
217,0,0.5074609490639437
218,0,0.3147241842816594
219,0,0.6272627559334
220,0,0.28417925527248894
221,0,0.2589340601336103
222,0,0.0
223,0,0.0
224,0,0.6379451014480583
225,0,0.2331784591265828
226,1,0.24737146436956647
227,0,0.5577834549957237
228,0,0.3888140942145195
229,1,0.6247563594440795
230,1,0.6000896538672404
231,0,0.22109490146691002
232,0,0.1863152078708675
233,0,0.15322618893789133
234,0,0.5444488558648164
235,0,0.19658036771708526
236,0,0.17808263455963114
237,0,0.1812720122621283
238,0,0.0
239,1,0.6497816406347582
240,1,0.7954620727614001
241,0,0.550553137054433
242,0,0.569988241737079
243,0,0.16198011682127778
244,0,0.0
245,0,0.20584508445519226
246,1,0.18845361045569659
247,1,0.0
248,0,0.2332727586625582
249,0,0.17497429870553516
250,0,0.6130278616598628
251,1,0.47525657684779266
252,0,0.43629720415388074
253,1,0.4384995764906726
254,0,0.5967102330117455
255,0,0.2134059638158124
256,0,0.14350613997931802
257,1,0.455520596172729
258,0,0.36491526016544107
259,0,0.26855820983060275
260,0,0.46510306804357426
261,0,0.523429837653441
262,0,0.5766929666979838
263,1,0.0
264,0,0.2369811060685475
265,0,0.16094416161463504
266,0,0.5195571564428777
267,1,0.801648699544389
268,0,0.0
269,0,0.2507516586105068
270,0,0.0
271,0,0.4862691935171941
272,0,0.6716045055215882
273,0,0.0
274,1,0.535532015313221
275,0,0.47141555087855014
276,1,0.7598032961004868
277,0,0.3279411961798103
278,0,0.0
279,0,0.4647967805159271
280,0,0.0
281,0,0.5205229576261794
282,1,0.4079348231217444
283,1,0.0
