id,total_income,total_expense,net_income,income_count,expense_count,total_tx_count,active_days,tx_frequency,last_tx_days_ago,income_expense_ratio,avg_income,income_std,expense_std,big_income_count,big_income_ratio,min_balance,final_balance,negative_balance_count,negative_balance_ratio,label
0,12079.499999999998,59707.5,-47628.0,42,6,48,164,0.2926829268292683,5996,0.20231126742532657,287.60714285714283,269.2953515424456,645.9812791405026,0,0.0,-48391.79000000001,-47628.00000000001,48.0,1.0,0
12893,14368.579999999998,14022.76,345.8199999999979,54,6,60,165,0.36363636363636365,6281,1.0246613362116541,266.08481481481476,189.48783110966335,206.8445594804626,1,0.018518518518518517,-3227.26,345.82000000000016,42.0,0.7,0
6446,31500.039999999997,15115.5,16384.539999999997,69,6,75,171,0.43859649122807015,6446,2.0839562037587935,456.52231884057966,758.4787023012207,196.92473181395982,5,0.07246376811594203,-3633.2799999999997,16384.540000000008,21.0,0.28,0
2,15883.72,6522.38,9361.34,44,4,48,181,0.26519337016574585,4309,2.4352644276421698,360.99363636363637,599.3839917436588,86.88488955700717,2,0.045454545454545456,-951.78,9361.339999999998,4.0,0.08333333333333333,0
4,30823.099999999995,20339.899999999998,10483.199999999997,87,6,93,170,0.5470588235294118,5995,1.5154007639410516,354.28850574712635,556.9158761147607,208.71080390498864,5,0.05747126436781609,-4481.299999999999,10483.2,39.0,0.41935483870967744,1
19338,33935.61,16442.94,17492.670000000002,92,6,98,183,0.5355191256830601,6810,2.0638407728749337,368.86532608695654,482.3055482804343,192.56716272511255,6,0.06521739130434782,-1014.1899999999998,17492.670000000006,4.0,0.04081632653061224,0
19339,24487.799999999996,9531.36,14956.439999999995,43,3,46,177,0.2598870056497175,6992,2.5691821521200344,569.4837209302325,863.0968096255627,284.6054769325426,6,0.13953488372093023,2617.25,14956.440000000002,0.0,0.0,0
6,15385.269999999999,26348.5,-10963.230000000001,56,5,61,180,0.3388888888888889,6204,0.5839144543111024,274.73696428571424,266.38973232273895,235.94612732570965,1,0.017857142857142856,-15063.69,-10963.230000000001,59.0,0.9672131147540983,0
7,22642.76,37315.25,-14672.490000000002,60,6,66,176,0.375,6415,0.60679641699823,377.3793333333333,433.3452146662338,376.3405531917424,1,0.016666666666666666,-18848.65,-14672.49,65.0,0.9848484848484849,1
6447,19971.839999999997,46160.490000000005,-26188.65000000001,51,6,57,178,0.3202247191011236,6444,0.43266091845141447,391.60470588235285,580.3912414340966,606.377591002504,2,0.0392156862745098,-27546.599999999988,-26188.64999999999,54.0,0.9473684210526315,1
6448,18678.750000000007,37117.49,-18438.73999999999,61,6,67,192,0.3489583333333333,6557,0.5032331119236989,306.20901639344277,433.26046896258964,556.05711039125,1,0.01639344262295082,-24720.53,-18438.739999999994,65.0,0.9701492537313433,0
12895,30181.74,33187.0,-3005.2599999999984,79,6,85,182,0.46703296703296704,7176,0.9094446620390683,382.0473417721519,578.2394603886314,192.2629469936074,3,0.0379746835443038,-15220.219999999998,-3005.2599999999948,83.0,0.9764705882352941,0
19342,25249.670000000002,43829.799999999996,-18580.129999999994,78,6,84,178,0.47191011235955055,6999,0.5760845360787391,323.713717948718,360.5243930112457,365.7639439128284,1,0.01282051282051282,-23021.89,-18580.13,82.0,0.9761904761904762,0
19343,13191.030000000002,17099.260000000002,-3908.2299999999996,39,3,42,154,0.2727272727272727,5883,0.7714386470074472,338.23153846153855,607.1424161054908,313.5008306740723,1,0.02564102564102564,-11828.720000000001,-3908.230000000002,36.0,0.8571428571428571,1
