id,label,oof_cat
0,0,0.4351732932665248
1,1,0.0
2,0,0.8262752419924125
3,0,0.5453536577596841
4,1,0.5412885126128198
5,1,0.6568897278258663
6,0,0.21529442368647161
7,1,0.3545064498950054
8,0,0.7115501020936599
9,1,0.8051319164297223
10,0,0.0
11,0,0.47703527232413795
12,0,0.47669435555245115
13,0,0.0
14,0,0.4750045156906415
15,0,0.4309057533051324
16,0,0.308195314070159
17,0,0.22899270140307423
18,0,0.0
19,0,0.5638934295599634
20,0,0.47669435555245115
21,0,0.4052431169222371
22,0,0.32789831921098533
23,0,0.5261553879380353
24,0,0.18778049937355176
25,0,0.6446953544002725
26,0,0.47703527232413795
27,1,0.0
28,0,0.5006397295025095
29,0,0.35540661784345595
30,1,0.6346723356614595
31,0,0.0
32,0,0.5131288602059821
33,1,0.0
34,0,0.0
35,0,0.6665042805950924
36,0,0.5236040642949173
37,0,0.0
38,0,0.30846376532777015
39,0,0.7081142224572458
40,0,0.43749873748863405
41,0,0.0
42,1,0.46345069127589905
43,0,0.3131159412845935
44,0,0.5257978814658014
45,0,0.6332472543467688
46,0,0.0
47,0,0.4271587161732867
48,0,0.3585783306790037
49,0,0.45371905069780855
50,1,0.0
51,1,0.8929463305374624
52,0,0.5605790302614942
53,0,0.5051028910715978
54,0,0.33819237210546643
55,0,0.6230605474934693
56,0,0.0
57,0,0.21600971842447503
58,0,0.19820851164459527
59,0,0.5300357757615676
60,0,0.1438338351417997
61,0,0.2070991997890425
62,0,0.20473974338421339
63,0,0.18678248699517921
64,1,0.0
65,0,0.5111886495648877
66,0,0.0
67,0,0.41406280661963013
68,0,0.3855559640990813
69,0,0.5030860252525686
70,1,0.5933015953777304
71,0,0.5051028910715978
72,0,0.3516381832950174
73,0,0.0
74,0,0.0
75,0,0.3030763872824841
76,0,0.31360353903641147
77,0,0.4838486342216749
78,0,0.0
79,0,0.0
80,1,0.753226368479893
81,0,0.0
82,0,0.17622833146551944
83,0,0.5792559438553099
84,0,0.7337072415353472
85,0,0.0
86,1,0.5238401237192756
87,0,0.0
88,0,0.0
89,0,0.0
90,0,0.47703527232413795
91,0,0.0
92,0,0.38657613257513374
93,0,0.0
94,0,0.0
95,0,0.0
96,0,0.4316410755381989
97,0,0.3896857886534692
98,0,0.47703527232413795
99,0,0.49514141268893197
100,0,0.15267235124763426
101,0,0.4833562695280774
102,0,0.0
103,0,0.169340730064681
104,0,0.0
105,0,0.3904625000222115
106,0,0.6701170386699916
107,0,0.22290866709442594
108,0,0.0
109,0,0.0
110,1,0.5345494653604128
111,0,0.47669435555245115
112,0,0.0
113,1,0.39427111452118524
114,1,0.5074600358616842
115,0,0.0
116,0,0.0
117,0,0.48985143294911715
118,0,0.4975066962681542
119,0,0.3925334177898675
120,0,0.4931326191409244
121,0,0.3246091957812077
122,1,0.0
123,0,0.0
124,0,0.54244475471428
125,1,0.5683246114381052
126,0,0.0
127,0,0.0
128,0,0.0
129,1,0.0
130,1,0.3605927221256987
131,0,0.0
132,1,0.7266855310040328
133,0,0.4829758995901214
134,0,0.0
135,0,0.4797326782074774
136,0,0.7488707338665719
137,0,0.47703527232413795
138,0,0.3496771126281383
139,0,0.3045187915257533
140,1,0.5246548732852065
141,1,0.5396017507913259
142,0,0.0
143,0,0.0
144,0,0.711624981982225
145,0,0.0
146,0,0.7320237089185923
147,1,0.6882795310493315
148,0,0.3153611105281226
149,1,0.41494665434825345
150,0,0.0
151,0,0.6862586264285954
152,1,0.37233982268865345
153,1,0.37348741822790116
154,0,0.5170538830295396
155,0,0.5237484648194388
156,1,0.5629095071363799
157,0,0.13598969013002524
158,0,0.5702048642352848
159,0,0.41337733462898946
160,0,0.49111598177539584
161,0,0.0
162,0,0.49296087680937206
163,1,0.14997535738949389
164,0,0.0
165,0,0.18451556073877912
