level,TE_level
A0,0.1185577143415483
A1,0.11368757852145267
A2,0.13283856528598742
A3,0.14912355884088177
A4,0.16791150554203715
A5,0.17009363385943643
B0,0.18314360115273917
B1,0.19879219554098268
B2,0.21536908766592353
B3,0.23305044782728956
B4,0.23808854917270186
B5,0.27088778111502265
C1,0.2673609915827708
C2,0.2673840781445036
C3,0.3189491533661492
C4,0.26134897590577877
C5,0.30802924094047923
D1,0.2845783118979198
D2,0.3249889334941156
D3,0.28391566050503975
D4,0.3412048165255471
D5,0.33887167432418
E1,0.3540594996412925
E2,0.24150509176687188
E3,0.2706522580145978
E4,0.3499483563058731
E5,0.243704811767639
