balance_accounts__as_cat,TE_balance_accounts__as_cat
1.0,0.17995684631491038
10.0,0.1772158583599535
11.0,0.18422768842494486
12.0,0.199178489847899
13.0,0.19471847085729269
14.0,0.20663520036394759
15.0,0.19325026907711113
16.0,0.19046065246916588
17.0,0.20185835107301076
18.0,0.18376875872053608
19.0,0.2120036042615092
2.0,0.2015818293625584
20.0,0.22036728057670465
3.0,0.2111915273084155
4.0,0.18653221712579562
5.0,0.11555210276078416
6.0,0.1461622026238396
7.0,0.16799755971710706
8.0,0.17589479398942628
9.0,0.17459089668243322
