id,total_income,total_expense,net_income,income_count,expense_count,total_tx_count,active_days,tx_frequency,last_tx_days_ago,first_tx_days_ago,span_days,income_expense_ratio,avg_income,income_std,median_income,avg_expense,expense_std,median_expense,big_income_count,big_income_ratio,stm_missing
0,59707.5,12079.499999999998,47628.0,6.0,42.0,48.0,41.0,1.170731707317073,6000.0,6163.0,163.0,4.942878429989414,9951.25,589.6975305188245,10081.400000000001,287.60714285714283,266.07014116658814,257.25,3.0,0.5,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2,6522.38,15883.72,-9361.34,4.0,44.0,48.0,46.0,1.0434782608695652,4313.0,4493.0,180.0,0.41063302548706265,1630.595,75.24452156137349,1659.65,360.99363636363637,592.5336640037306,227.175,2.0,0.5,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4,20339.899999999998,30823.099999999995,-10483.199999999997,6.0,87.0,93.0,83.0,1.1204819277108433,5999.0,6168.0,169.0,0.6598914450311653,3389.983333333333,190.52602548966598,3356.675,354.28850574712635,553.7059596031688,243.5,3.0,0.5,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,26348.5,15385.269999999999,10963.230000000001,5.0,56.0,61.0,57.0,1.0701754385964912,6208.0,6387.0,179.0,1.7125796296254419,5269.7,211.036631891243,5234.0,274.73696428571424,264.0005384796973,277.91499999999996,2.0,0.4,0
7,37315.25,22642.76,14672.490000000002,6.0,60.0,66.0,59.0,1.11864406779661,6419.0,6594.0,175.0,1.6479991837722965,6219.208333333333,343.55035047848355,6237.875,377.3793333333333,429.7188311243631,270.97,3.0,0.5,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
11,20418.749999999996,26862.430000000004,-6443.680000000008,6.0,77.0,83.0,73.0,1.1369863013698631,6785.0,6955.0,170.0,0.7601229672535161,3403.1249999999995,216.57252024437454,3428.535,348.86272727272734,522.3143003744765,294.47,3.0,0.5,0
12,8612.93,14362.919999999998,-5749.989999999998,1.0,31.0,32.0,31.0,1.032258064516129,6331.0,6497.0,166.0,0.5996642743537064,8612.93,0.0,8612.93,463.31999999999994,588.9061762667814,340.68,0.0,0.0,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
15,45026.009999999995,29776.08,15249.929999999993,6.0,100.0,106.0,95.0,1.1157894736842104,5955.0,6132.0,177.0,1.5121537152804478,7504.334999999999,425.65280314476973,7401.014999999999,297.7608,237.84870260180102,278.65999999999997,3.0,0.5,0
16,102550.20000000001,21813.57,80736.63,6.0,75.0,81.0,72.0,1.125,6356.0,6528.0,172.0,4.701211218305798,17091.7,1531.3622393585827,16926.71,290.8476,296.0519651045066,267.44,3.0,0.5,0
17,61712.03,27177.069999999996,34534.96000000001,6.0,65.0,71.0,60.0,1.1833333333333333,5962.0,6145.0,183.0,2.270738898554159,10285.338333333333,847.9323701297698,10494.130000000001,418.10876923076916,590.6098849846336,281.62,3.0,0.5,0
18,52560.83,19699.09,32861.740000000005,6.0,49.0,55.0,45.0,1.2222222222222223,6691.0,6868.0,177.0,2.6681856876298253,8760.138333333334,610.3456741720674,8867.5,402.0222448979592,601.4022582919305,307.37,3.0,0.5,0
