total_income,total_expense,net_income,income_count,expense_count,total_tx_count,active_days,tx_frequency,last_tx_days_ago,first_tx_days_ago,span_days,income_expense_ratio,avg_income,income_std,median_income,avg_expense,expense_std,median_expense,big_income_count,big_income_ratio,id,stm_missing
20884.04,27396.96,-6512.919999999998,6,77,83,74,1.1216216216216217,6534,6722,188,0.7622758145151041,3480.6733333333336,260.45944435853266,3388.2200000000003,355.8046753246753,490.34558922157186,288.64,3,0.5,73536,0
64877.59,30081.98,34795.61,6,62,68,59,1.152542372881356,6319,6497,178,2.156692810707384,10812.931666666665,755.1311790105669,10609.625,485.1932258064516,719.3225864721259,291.98,3,0.5,73538,0
28077.629722347454,50541.86355309298,-22464.23383074553,80,122,202,131,1.5419847328244274,6888,7067,179,0.5555321420290936,350.9703715293432,241.57409048436716,287.26990681563854,414.27757010731955,359.8426018919579,286.47725289219727,40,0.5,73539,0
49581.67,13508.12,36073.549999999996,5,41,46,43,1.069767441860465,5686,5859,173,3.670508553102096,9916.333999999999,576.3538114942943,9783.15,329.46634146341466,319.36036934179435,261.04,2,0.4,73541,0
46624.490000000005,11372.72,35251.770000000004,3,39,42,38,1.105263157894737,5660,5828,168,4.0996780010323235,15541.496666666668,757.139001167479,15284.75,291.6082051282051,164.07443498219686,303.72,1,0.3333333333333333,73543,0
21982.83,5752.089999999999,16230.740000000002,3,22,25,22,1.1363636363636365,6426,6571,145,3.8217117597565915,7327.610000000001,544.2438793408705,7708.0,261.45863636363634,252.7815242330718,215.405,1,0.3333333333333333,73544,0
17726.76731478927,26172.966795377004,-8446.199480587733,63,82,145,95,1.5263157894736843,6888,7068,180,0.6772930043698027,281.37725896490906,134.29486099276295,265.15686559212526,319.1825218948415,248.08788484814107,286.0667599884308,31,0.49206349206349204,73545,0
3997.81,15147.550000000001,-11149.740000000002,1,31,32,32,1.0,5957,6132,175,0.26392452903182856,3997.81,0.0,3997.81,488.6306451612904,761.0991287899002,302.88,0,0.0,73546,0
14902.7,11397.039999999999,3505.6600000000017,3,33,36,33,1.0909090909090908,6548,6686,138,1.307593901459713,4967.566666666667,312.8650956704645,5186.04,345.36484848484844,578.6629448846303,299.66,1,0.3333333333333333,73550,0
37808.7,24698.640000000007,13110.05999999999,6,55,61,55,1.1090909090909091,6476,6661,185,1.5308008861406615,6301.45,321.7389476475197,6216.93,449.0661818181819,701.6889330685472,270.91,3,0.5,73552,0
78977.5,21818.120000000003,57159.38,6,53,59,52,1.1346153846153846,6630,6814,184,3.619812339302386,13162.916666666666,617.1163900666461,13290.625,411.662641509434,617.3387798374048,289.57,3,0.5,73554,0
25888.15,16623.899999999998,9264.250000000004,4,41,45,39,1.1538461538461537,8162,8324,162,1.5572849931991122,6472.0375,384.34342126378345,6625.355,405.460975609756,646.7307057991281,270.75,2,0.5,73555,0
3456.665353499432,7802.552542995138,-4345.887189495706,20,48,68,66,1.0303030303030303,6888,7066,178,0.44301724775435053,172.8332676749716,75.90943239587958,152.63955567692585,162.55317797906537,82.40904326560975,147.14138155951446,10,0.5,73556,0
62986.24999999999,24920.36,38065.88999999999,6,64,70,57,1.2280701754385965,7147,7301,154,2.5275016090246085,10497.708333333332,585.8061206695345,10805.25,389.380625,577.8330974124227,253.995,3,0.5,73562,0
34027.33,11972.890000000001,22054.440000000002,5,35,40,39,1.0256410256410255,5084,5255,171,2.84203145582712,6805.466,455.63864162733165,7119.33,342.08257142857144,518.8803001372577,277.38,1,0.2,73565,0
24148.4,12236.970000000001,11911.43,6,34,40,35,1.1428571428571428,6173,6357,184,1.973397009065692,4024.7333333333336,165.83194974297183,4059.7999999999997,359.9108823529412,618.7054741453777,238.995,3,0.5,73567,0
